key,2023_description,2018_description,cosine_similarity,2018_language,2023_language,2018_description_len,2023_description_len,similarity_bin,template,prompt,model,response,file,2018_quality,2018_feasiblity,2018_customer_segments,2018_value_propositions,2018_channels,2018_customer_relationships,2018_key_partners,2018_key_activities,2018_key_resources,2018_revenues,2018_costs,2023_quality,2023_feasiblity,2023_customer_segments,2023_value_propositions,2023_channels,2023_customer_relationships,2023_key_partners,2023_key_activities,2023_key_resources,2023_revenues,2023_costs
factivate,"Factivate provides a business intelligence and just-in-time decision engine that is capable automating data aggregation processes and understanding how decisions (or reactions) are made based off of a business' KPIs. From that metadata, we can derive what information is important per individual, company, or industry, and provide automated recommendations (or reactions) to help the individual maximize their capital. Best of all, the solution requires no learning curve or programming to use. Any user with rudimentary spreadsheet skills can track their KPIs, connect to outside sources of data within three clicks, and then let Factivate go to work. Within our solution, we replace a user's need for a “dumb” dashboard tool, “stagnant” reporting, tool, and even limited workflow tool. Factivate is positioned to disrupt the entire Business Intelligence (B.I.) industry by ultimately letting individuals build their own B.I. systems without writing any code.","For digital marketers who are overcome by the burden of building manual Excel reports, Factivate provides a cloud-based, spreadsheet-like tool that automates all of their manual data reporting and data analysis tasks within a few clicks saving organizations an average 150+/hrs per employee per year while improving digital agencies customer retention and new customer acquisition rates.",0.5846847978168594,en,en,56,142,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: factivate
---
2018_description:
 For digital marketers who are overcome by the burden of building manual Excel reports, Factivate provides a cloud-based, spreadsheet-like tool that automates all of their manual data reporting and data analysis tasks within a few clicks saving organizations an average 150+/hrs per employee per year while improving digital agencies customer retention and new customer acquisition rates.
 ---
2023_description:
 ---
 Factivate provides a business intelligence and just-in-time decision engine that is capable automating data aggregation processes and understanding how decisions (or reactions) are made based off of a business' KPIs. From that metadata, we can derive what information is important per individual, company, or industry, and provide automated recommendations (or reactions) to help the individual maximize their capital. Best of all, the solution requires no learning curve or programming to use. Any user with rudimentary spreadsheet skills can track their KPIs, connect to outside sources of data within three clicks, and then let Factivate go to work. Within our solution, we replace a user's need for a “dumb” dashboard tool, “stagnant” reporting, tool, and even limited workflow tool. Factivate is positioned to disrupt the entire Business Intelligence (B.I.) industry by ultimately letting individuals build their own B.I. systems without writing any code.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""factivate"",
  ""2018_quality"": 7,
  ""2023_quality"": 8
}",..\responses\2024-02-01_21-03-50.txt,7,,,,,,,,,,,8,,,,,,,,,,
carecap,"Varidi is a cloud-based payment management system enabling businesses to provide customers with easy, custom, and automated ways to pay over time. The company's payment management solution significantly reduces the administrative time and expense associated with accounting. The cloud-based platform facilitates e-invoicing, pay-now, and pay-overtime capabilities that make it possible for businesses of every type to increase their revenue and profitability by offering a wide range of payment options. Varidi was founded in 2013 and is headquartered in Bellevue, Washington, United States.","A growing number of consumers lack the ability to pay in-full for needed goods and services at the point of purchase. 

CareCap is a cloud-based payment management system enabling businesses to provide customers with easy, custom, and automated ways to pay over time.
 -- E-invoicing 
 -- Subscription
 -- Payment Plans",0.5712877650516368,en,en,50,82,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: carecap
---
2018_description:
 A growing number of consumers lack the ability to pay in-full for needed goods and services at the point of purchase. 

CareCap is a cloud-based payment management system enabling businesses to provide customers with easy, custom, and automated ways to pay over time.
 -- E-invoicing 
 -- Subscription
 -- Payment Plans
 ---
2023_description:
 ---
 Varidi is a cloud-based payment management system enabling businesses to provide customers with easy, custom, and automated ways to pay over time. The company's payment management solution significantly reduces the administrative time and expense associated with accounting. The cloud-based platform facilitates e-invoicing, pay-now, and pay-overtime capabilities that make it possible for businesses of every type to increase their revenue and profitability by offering a wide range of payment options. Varidi was founded in 2013 and is headquartered in Bellevue, Washington, United States.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""carecap"",
  ""2018_quality"": 7,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-03-53.txt,7,,,,,,,,,,,9,,,,,,,,,,
dark-cubed,"Dark Cubed brings security to the more than 99% of companies that do not have the resources to implement security today. Our SaaS solution augments existing firewalls to provide enterprise-grade security capabilities at a fraction of the cost and complexity of other solutions. We partner with MSPs and service providers to secure their customer base, increase revenue, and capture new customers.","Dark Cubed is a cybersecurity company. Its infrastructure uses machine learning and data science to identify and understand the behavior of threat actors across disparate networks in near-real time. The company’s platform enables its users to get instant visibility, real time awareness, and discover threats faster.

Dark Cubed was founded by Theresa Payton in 2014 and is headquartered in Washington, Columbia.",0.5916080304836493,en,en,61,61,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: dark-cubed
---
2018_description:
 Dark Cubed is a cybersecurity company. Its infrastructure uses machine learning and data science to identify and understand the behavior of threat actors across disparate networks in near-real time. The company’s platform enables its users to get instant visibility, real time awareness, and discover threats faster.

Dark Cubed was founded by Theresa Payton in 2014 and is headquartered in Washington, Columbia.
 ---
2023_description:
 ---
 Dark Cubed brings security to the more than 99% of companies that do not have the resources to implement security today. Our SaaS solution augments existing firewalls to provide enterprise-grade security capabilities at a fraction of the cost and complexity of other solutions. We partner with MSPs and service providers to secure their customer base, increase revenue, and capture new customers.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""dark-cubed"",
  ""2018_quality"": 7,
  ""2023_quality"": 8
}",..\responses\2024-02-01_21-04-00.txt,7,,,,,,,,,,,8,,,,,,,,,,
sysdig,"In the cloud, every second counts. Attacks move at warp speed, and security teams must protect the business without slowing it down. Sysdig stops cloud attacks in real time, instantly detecting changes in risk with runtime insights, a unique AI architecture, and open source Falco. Sysdig delivers live visibility by correlating signals across cloud workloads, identities, and services to uncover hidden attack paths. By knowing what is running, teams can prioritize the vulnerabilities, misconfigurations, permissions, and threats that matter most. From prevention to defense, Sysdig helps enterprises move faster and focus on what matters: innovation. Sysdig. Secure Every Second.","Sysdig (Twitter: @sysdig) is the container intelligence company. We have created the only unified platform to deliver monitoring, security, and troubleshooting in a microservices-friendly architecture. Our open source technologies have attracted a community of over a million developers, administrators and other IT professionals looking for deep visibility into systems and containers. Our container intelligence platform monitors and secures millions of containers across hundreds of enterprises, including Fortune 500 companies and web-scale properties.",0.5699101786944024,en,en,72,99,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: sysdig
---
2018_description:
 Sysdig (Twitter: @sysdig) is the container intelligence company. We have created the only unified platform to deliver monitoring, security, and troubleshooting in a microservices-friendly architecture. Our open source technologies have attracted a community of over a million developers, administrators and other IT professionals looking for deep visibility into systems and containers. Our container intelligence platform monitors and secures millions of containers across hundreds of enterprises, including Fortune 500 companies and web-scale properties.
 ---
2023_description:
 ---
 In the cloud, every second counts. Attacks move at warp speed, and security teams must protect the business without slowing it down. Sysdig stops cloud attacks in real time, instantly detecting changes in risk with runtime insights, a unique AI architecture, and open source Falco. Sysdig delivers live visibility by correlating signals across cloud workloads, identities, and services to uncover hidden attack paths. By knowing what is running, teams can prioritize the vulnerabilities, misconfigurations, permissions, and threats that matter most. From prevention to defense, Sysdig helps enterprises move faster and focus on what matters: innovation. Sysdig. Secure Every Second.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""sysdig"",
  ""2018_quality"": 8,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-04-03.txt,8,,,,,,,,,,,9,,,,,,,,,,
debyoo,"What we’ve learned from the covid-19 pandemic is that the communication between employees and employers is broken. Workers, specially Millennials, feel unheard. Debyoo is the next generation resume that aims to restore the communication between leaders and employees from the very beginning of the hiring process. We’ve launched our iOS and Android app where anyone can built their résumé for free, we made it easy, less boring, removed all the pain.","Debyoo is the home of 'Story Pages'.

Through Story Pages, Debyoo lets you tell your stories easily by mixing text, photos and videos.

Built on top of a groundbreaking social network, Debyoo combines the power of Storytelling with Social Media to allow you to share your stories and connect with other people efficiently and powerfully.

By introducing a new concept called FEEL, Debyoo goes beyond the LIKE. FEEL feature is the most valuable way for people to express their feelings or sentiments. It gives people the power to easily express a broader range of feelings and emotions. Debyoo is taking social experiments to another level. True feelings. Real conversations. Deep connections.

If you don't tell your story, someone else will do. 
Story it. Tell it. Share it.",0.5958824227005887,en,en,127,71,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: debyoo
---
2018_description:
 Debyoo is the home of 'Story Pages'.

Through Story Pages, Debyoo lets you tell your stories easily by mixing text, photos and videos.

Built on top of a groundbreaking social network, Debyoo combines the power of Storytelling with Social Media to allow you to share your stories and connect with other people efficiently and powerfully.

By introducing a new concept called FEEL, Debyoo goes beyond the LIKE. FEEL feature is the most valuable way for people to express their feelings or sentiments. It gives people the power to easily express a broader range of feelings and emotions. Debyoo is taking social experiments to another level. True feelings. Real conversations. Deep connections.

If you don't tell your story, someone else will do. 
Story it. Tell it. Share it.
 ---
2023_description:
 ---
 What we’ve learned from the covid-19 pandemic is that the communication between employees and employers is broken. Workers, specially Millennials, feel unheard. Debyoo is the next generation resume that aims to restore the communication between leaders and employees from the very beginning of the hiring process. We’ve launched our iOS and Android app where anyone can built their résumé for free, we made it easy, less boring, removed all the pain.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""debyoo"",
  ""2018_quality"": 8,
  ""2023_quality"": 7
}",..\responses\2024-02-01_21-04-05.txt,8,,,,,,,,,,,7,,,,,,,,,,
swoogo,"Swoogo is the event marketing software for planners who like to get sh!t done. Whether your events are live, hybrid, or virtual, we gotchu— with the world’s smartest registration, easiest site builder, and best customer service. Pepper in unlimited events, unlimited registrations, and unlimited free integrations and you’ve got yourself a turkey. Let’s get sh!t done together.","Swoogo is an event software solution that combines management tools and analytics with various functions to facilitate a range of services from creating event sites to registration, marketing, and analytics. It offers fully customizable registration pages, a drag-and-drop website builder, and simplified dashboards.

Swoogo was founded in 2015 by Leonora Valvo and Tim W Cummins. It is based in Westport, Connecticut.",0.597267824295227,en,en,61,57,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: swoogo
---
2018_description:
 Swoogo is an event software solution that combines management tools and analytics with various functions to facilitate a range of services from creating event sites to registration, marketing, and analytics. It offers fully customizable registration pages, a drag-and-drop website builder, and simplified dashboards.

Swoogo was founded in 2015 by Leonora Valvo and Tim W Cummins. It is based in Westport, Connecticut.
 ---
2023_description:
 ---
 Swoogo is the event marketing software for planners who like to get sh!t done. Whether your events are live, hybrid, or virtual, we gotchu— with the world’s smartest registration, easiest site builder, and best customer service. Pepper in unlimited events, unlimited registrations, and unlimited free integrations and you’ve got yourself a turkey. Let’s get sh!t done together.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""swoogo"",
  ""2018_quality"": 8,
  ""2023_quality"": 6
}",..\responses\2024-02-01_21-04-07.txt,8,,,,,,,,,,,6,,,,,,,,,,
scaeva-technologies-inc,"From creators to consumers, Scaeva is redefining how people connect with audio, sound, and music for generations to come.  Current sound creation and reproduction technologies are decades old. Most recently, the introduction of “spatial” or “3D” audio fails to deliver authentic spatial context. With its patented InSitu Sound (TM) technology, Scaeva is changing the foundations of sound and redefining how we listen, create and relate to content. SPATIAL CONTEXT IS CRITICAL for naturally immersive experiences. Without it VR, AR, music, home theater and gaming experiences are pale shadows of what they could be.  Unlike 360, 3D, or binaural audio, InSitu Sound enables sound field shaping in any direction, at any depth, and doesn’t require specially recorded content to give listeners an immersive experience. InSitu Sound unlocks the acoustic context behind the source content, meaning you get the full depth of the audio experience the artist intended. The first Scaeva product has been in-market for over a year, with rave reviews.  The Company is raising a Series A to ramp its commercialization growth.  Investment differentiators include: * Multiple potential verticals * Series A proceeds devoted to growth, not mitigating burn * Multiple strategic exit scenarios","Scaeva Technologies protects digital music and film content with innovative (and patented) content-aware™ encryption. We integrate within the creative workflow to secure the digital content with our ScaevaSAFE™. Unlocking the content requires either a companion key, or our newly designed speaker and headphone licensed technology. All of Scaeva's solutions are designed to reproduce standard content as well as encrypted content with immersive, high definition sound quality.",0.5586788162906298,en,en,66,194,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: scaeva-technologies-inc
---
2018_description:
 Scaeva Technologies protects digital music and film content with innovative (and patented) content-aware™ encryption. We integrate within the creative workflow to secure the digital content with our ScaevaSAFE™. Unlocking the content requires either a companion key, or our newly designed speaker and headphone licensed technology. All of Scaeva's solutions are designed to reproduce standard content as well as encrypted content with immersive, high definition sound quality.
 ---
2023_description:
 ---
 From creators to consumers, Scaeva is redefining how people connect with audio, sound, and music for generations to come.  Current sound creation and reproduction technologies are decades old. Most recently, the introduction of “spatial” or “3D” audio fails to deliver authentic spatial context. With its patented InSitu Sound (TM) technology, Scaeva is changing the foundations of sound and redefining how we listen, create and relate to content. SPATIAL CONTEXT IS CRITICAL for naturally immersive experiences. Without it VR, AR, music, home theater and gaming experiences are pale shadows of what they could be.  Unlike 360, 3D, or binaural audio, InSitu Sound enables sound field shaping in any direction, at any depth, and doesn’t require specially recorded content to give listeners an immersive experience. InSitu Sound unlocks the acoustic context behind the source content, meaning you get the full depth of the audio experience the artist intended. The first Scaeva product has been in-market for over a year, with rave reviews.  The Company is raising a Series A to ramp its commercialization growth.  Investment differentiators include: * Multiple potential verticals * Series A proceeds devoted to growth, not mitigating burn * Multiple strategic exit scenarios

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""scaeva-technologies-inc"",
  ""2018_quality"": 8,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-04-09.txt,8,,,,,,,,,,,9,,,,,,,,,,
edj-analytics,"EdjAnalytics is a developer of predictive modeling techniques intended to businesses in data analytics. The company's techniques offer a decision model that gathers business and organizational context for a specific decision and identify all of the possible outcomes based on an existing data set, enabling companies in multiple areas, such as healthcare, education, athletics, and commodities markets to make better and more impactful decisions.","In 2006, Indiana University astrophysicist Chuck Bower and former world backgammon champion Frank Frigo began exploring how computer simulation models could aid NFL coaches in critical play-calling decisions. Neural net programs had already surpassed the best humans in (board) games of skill and they began to investigate applications for professional sports. Thus began the development of Zeus. This computer model shook the conventional wisdom of NFL coaches – particularly on intragame risk management decisions. Where other models focused on the expected points of generic teams, Zeus was assessing the win probability of accurately customized opponents. The revolutionary program caught the attention of sports media, NFL coaches, analysts and owners.",0.5771842828363708,en,en,109,64,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: edj-analytics
---
2018_description:
 In 2006, Indiana University astrophysicist Chuck Bower and former world backgammon champion Frank Frigo began exploring how computer simulation models could aid NFL coaches in critical play-calling decisions. Neural net programs had already surpassed the best humans in (board) games of skill and they began to investigate applications for professional sports. Thus began the development of Zeus. This computer model shook the conventional wisdom of NFL coaches – particularly on intragame risk management decisions. Where other models focused on the expected points of generic teams, Zeus was assessing the win probability of accurately customized opponents. The revolutionary program caught the attention of sports media, NFL coaches, analysts and owners.
 ---
2023_description:
 ---
 EdjAnalytics is a developer of predictive modeling techniques intended to businesses in data analytics. The company's techniques offer a decision model that gathers business and organizational context for a specific decision and identify all of the possible outcomes based on an existing data set, enabling companies in multiple areas, such as healthcare, education, athletics, and commodities markets to make better and more impactful decisions.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""edj-analytics"",
  ""2018_quality"": 8,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-04-12.txt,8,,,,,,,,,,,9,,,,,,,,,,
reyets,"Reyets is an award-winning justice tech startup that protects the civil rights of black, immigrant, and other at-risk populations. Our technology powers safer community/police interactions through mobile-enabled education, resource sharing, reporting, and data analysis tools.  Reyets allows neighborhoods and organizations to launch and manage community programs that increase resources,  encourage citizens witnessing, and uses data to drive reform efforts. While providing its citizens with a powerful app to know their rights, document incidents, and report misconduct.","Reyets is the fastest and most secure way to record video and document high-risk situations. Protect yourself during interactions with law enforcement, at protests, in travel disputes, and any other incidents. Real-time cloud backups and on-demand​ live streaming ensures that your records are protected even if your device is damaged or confiscated. Instant access to a knowledge center gives you quick and easy to understand information on your rights when you need it.",0.598983262130564,en,en,73,76,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: reyets
---
2018_description:
 Reyets is the fastest and most secure way to record video and document high-risk situations. Protect yourself during interactions with law enforcement, at protests, in travel disputes, and any other incidents. Real-time cloud backups and on-demand​ live streaming ensures that your records are protected even if your device is damaged or confiscated. Instant access to a knowledge center gives you quick and easy to understand information on your rights when you need it.
 ---
2023_description:
 ---
 Reyets is an award-winning justice tech startup that protects the civil rights of black, immigrant, and other at-risk populations. Our technology powers safer community/police interactions through mobile-enabled education, resource sharing, reporting, and data analysis tools.  Reyets allows neighborhoods and organizations to launch and manage community programs that increase resources,  encourage citizens witnessing, and uses data to drive reform efforts. While providing its citizens with a powerful app to know their rights, document incidents, and report misconduct.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""reyets"",
  ""2018_quality"": 8,
  ""2023_quality"": 9
}",..\responses\2024-02-01_21-04-14.txt,8,,,,,,,,,,,9,,,,,,,,,,
powch-llc,"With Powch, you share your data how and when you want, and only with those you specify. Powch securely enables transactions through your mobile device (including payment information, health records, banking, passwords, cryptocurrency, and more...) and provides you with immediate access to your information, whenever you need it. Let Powch take control of your data, so you can take better control of your life. Other products include Powch Verify and Powch Authenticate.","1-2-3 Checkout: Simplifying the Consumer Experience
 
The simplest checkout in apps or on the mobile web.  Forget pre-funding wallets or pulling out credit cards each time to enter tedious information on a small screen. Powch's 1-2-3 checkout is the easiest way for customers to checkout with a mobile phone.  Best of all, as with their traditional wallets, customers decide when and where to use their cards, with none of their sensitive data ever shared openly on the web, in browsers or stored on merchant servers.

No More Abandoned Mobile Shopping Carts
 
We all know that mobile checkout is a terrible experience.  Customers face quirky and time-consuming forms, too many steps, awkward confirmations and often don't even know whether they actually paid.  Powch dramatically cuts down the steps and complexity involved with mobile checkout, increasing satisfaction, trust - and bringing new revenues for merchants.

The Best Security: Don't Store Anything Online
 
We hear about it daily.  With increase in server breaches, consumers are wondering how much of their credit card info is ‘out there’.  Powch combines the ease of checkout that comes from storing credit card information with the security provided by not storing payment information at all.",0.5970880517993673,en,en,197,72,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: powch-llc
---
2018_description:
 1-2-3 Checkout: Simplifying the Consumer Experience
 
The simplest checkout in apps or on the mobile web.  Forget pre-funding wallets or pulling out credit cards each time to enter tedious information on a small screen. Powch's 1-2-3 checkout is the easiest way for customers to checkout with a mobile phone.  Best of all, as with their traditional wallets, customers decide when and where to use their cards, with none of their sensitive data ever shared openly on the web, in browsers or stored on merchant servers.

No More Abandoned Mobile Shopping Carts
 
We all know that mobile checkout is a terrible experience.  Customers face quirky and time-consuming forms, too many steps, awkward confirmations and often don't even know whether they actually paid.  Powch dramatically cuts down the steps and complexity involved with mobile checkout, increasing satisfaction, trust - and bringing new revenues for merchants.

The Best Security: Don't Store Anything Online
 
We hear about it daily.  With increase in server breaches, consumers are wondering how much of their credit card info is ‘out there’.  Powch combines the ease of checkout that comes from storing credit card information with the security provided by not storing payment information at all.
 ---
2023_description:
 ---
 With Powch, you share your data how and when you want, and only with those you specify. Powch securely enables transactions through your mobile device (including payment information, health records, banking, passwords, cryptocurrency, and more...) and provides you with immediate access to your information, whenever you need it. Let Powch take control of your data, so you can take better control of your life. Other products include Powch Verify and Powch Authenticate.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""powch-llc"",
  ""2018_quality"": 7,
  ""2023_quality"": 6
}",..\responses\2024-02-01_21-04-17.txt,7,,,,,,,,,,,6,,,,,,,,,,
muzit,"Muzit is the first company to use big data to monetize the media preferences of the global peer-to-peer (P2P) file sharing market. Muzit's proprietary TRACE platform has captured the media consumption and the unique IP addresses of over 250 million households who have downloaded over 20 billion software programs, movies, music, video games, TV shows and other digital media. Muzit provides unmatched market intelligence and deep audience insights allowing clients to purchase targeted lists from the world's largest consumer channel.","Muzit provides cutting edge technology for artists, copyright owners, and ISPs with a truly fan-friendly platform. Muzit enables musical artists and copyright owners the ability to reach out and engage with fans that previously weren't accessible. The engagement process and platform increases fans bases monetization opportunities for all types of artists.",0.5799865866212707,en,en,51,80,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: muzit
---
2018_description:
 Muzit provides cutting edge technology for artists, copyright owners, and ISPs with a truly fan-friendly platform. Muzit enables musical artists and copyright owners the ability to reach out and engage with fans that previously weren't accessible. The engagement process and platform increases fans bases monetization opportunities for all types of artists.
 ---
2023_description:
 ---
 Muzit is the first company to use big data to monetize the media preferences of the global peer-to-peer (P2P) file sharing market. Muzit's proprietary TRACE platform has captured the media consumption and the unique IP addresses of over 250 million households who have downloaded over 20 billion software programs, movies, music, video games, TV shows and other digital media. Muzit provides unmatched market intelligence and deep audience insights allowing clients to purchase targeted lists from the world's largest consumer channel.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""muzit"",
  ""2018_quality"": 7,
  ""2023_quality"": 8
}",..\responses\2024-02-01_21-04-22.txt,7,,,,,,,,,,,8,,,,,,,,,,
rinse,"Rinse is building the first and largest national (and global) brand in clothing care. It is addressing a massive consumer problem and creating a significantly better (and more standardized) dry cleaning and laundry experience through the combination of ''smart scheduling'' and best-in-class quality, all supported by a strong technology backbone that allows it to effectively manage the operational complexity that comes with scale. Its services include Dry Cleaning, Launder & Press, Wash & Fold, Hang Dry, Repairs, Leather Cleaning, and it even takes Clothing Donations.","They deliveries are always based on your schedule. Scheduling a Rinse is as simple as responding ""Y"" to a text message. Just tell us when you're free and we'll come to your front door.
Once we've received your clothes, they examine everything on an item-by-item basis and have they cleaning experts provide the best possible care.

They only work with incredibly qualified cleaners, so the clothes they return to you are always spotless and ready for wear.",0.57564479318576,en,en,77,85,"[0.55, 0.6)",../prompts/business_model.txt,"We would like your assistance with labeling the quality of a business description. 

We would like you to then provide an assessment of the overall quality of the 2018_description and the 2023_description. Each quality rating would be 1-10. The quality of the 2018_description should be given in the field '2018_quality' and be in the range 1-10. The quality of the 2023_description should be given in the field '2023_quality' and be in the range 1-10. 

key: rinse
---
2018_description:
 They deliveries are always based on your schedule. Scheduling a Rinse is as simple as responding ""Y"" to a text message. Just tell us when you're free and we'll come to your front door.
Once we've received your clothes, they examine everything on an item-by-item basis and have they cleaning experts provide the best possible care.

They only work with incredibly qualified cleaners, so the clothes they return to you are always spotless and ready for wear.
 ---
2023_description:
 ---
 Rinse is building the first and largest national (and global) brand in clothing care. It is addressing a massive consumer problem and creating a significantly better (and more standardized) dry cleaning and laundry experience through the combination of ''smart scheduling'' and best-in-class quality, all supported by a strong technology backbone that allows it to effectively manage the operational complexity that comes with scale. Its services include Dry Cleaning, Launder & Press, Wash & Fold, Hang Dry, Repairs, Leather Cleaning, and it even takes Clothing Donations.

Sample output.
{'key': key
'2018_quality': 0,
'2023_quality': 0,
}",gpt-4-1106-preview,"{
  ""key"": ""rinse"",
  ""2018_quality"": 6,
  ""2023_quality"": 8
}",..\responses\2024-02-01_21-04-25.txt,6,,,,,,,,,,,8,,,,,,,,,,
